Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,19.99,20.21,19.69,19.69,30182600,19.69
2012-12-28,19.50,19.63,19.30,19.52,28368600,19.52
2012-12-27,20.06,20.17,19.35,19.41,29298500,19.41
2012-12-26,20.54,20.68,20.00,20.06,24075000,20.06
2012-12-21,20.66,20.74,20.39,20.69,29390200,20.69
2012-12-20,20.87,21.17,20.63,21.05,25639600,21.05
2012-12-19,20.40,20.99,20.40,20.93,48430400,20.93
2012-12-18,19.86,20.26,19.85,20.17,24685000,20.17
2012-12-17,20.08,20.14,19.80,19.92,28421900,19.92
2012-12-14,19.59,20.28,19.53,20.21,44756300,20.21
2012-12-13,19.73,19.83,19.45,19.57,32701400,19.57
2012-12-12,19.93,20.05,19.68,19.85,34706800,19.85
2012-12-11,19.67,19.99,19.61,19.99,27429800,19.99
2012-12-10,19.04,19.70,18.94,19.57,23131600,19.57
2012-12-07,18.77,19.24,18.66,19.08,17573000,19.08
2012-12-06,18.92,18.98,18.70,18.70,21476900,18.70
2012-12-05,19.00,19.01,18.74,18.94,16822600,18.94
2012-12-04,19.04,19.14,18.72,18.82,24541800,18.82
2012-12-03,18.88,19.04,18.71,19.00,21174100,19.00
2012-11-30,19.09,19.28,18.51,18.66,37179700,18.66
2012-11-29,19.00,19.15,18.74,19.15,26702100,19.15
2012-11-28,18.44,18.90,18.35,18.65,25941300,18.65
2012-11-27,18.92,19.29,18.36,18.51,31833300,18.51
2012-11-26,19.13,19.13,18.70,18.82,18004000,18.82
2012-11-23,18.65,19.20,18.50,19.17,19514100,19.17
2012-11-22,18.81,18.95,18.45,18.65,16757000,18.65
2012-11-21,19.47,19.56,18.62,18.62,32393400,18.62
2012-11-19,19.44,19.62,19.13,19.13,22437000,19.13
2012-11-16,19.67,19.80,18.84,19.03,33874400,19.03
2012-11-14,20.29,20.54,19.66,19.80,28281900,19.80
2012-11-13,20.44,20.67,20.17,20.47,25641500,20.47
2012-11-12,20.83,20.96,20.31,20.44,16831600,20.44
2012-11-09,20.55,21.11,20.52,20.78,20890300,20.78
2012-11-08,21.20,21.35,20.50,20.61,22965500,20.61
2012-11-07,21.62,21.72,21.04,21.18,23550600,21.18
2012-11-06,21.44,21.80,21.27,21.68,21288700,21.68
2012-11-05,20.63,21.45,20.43,21.24,22746700,21.24
2012-11-01,20.92,21.06,20.68,20.85,22638800,20.85
2012-10-31,21.63,21.72,20.80,20.80,29805900,20.80
2012-10-30,21.40,21.68,21.40,21.53,8471800,21.53
2012-10-29,21.50,21.60,21.17,21.35,20295900,21.35
2012-10-26,21.69,22.41,21.61,22.10,25747300,22.10
2012-10-25,21.71,22.03,21.64,21.75,11681200,21.75
2012-10-24,21.73,21.81,21.40,21.54,10921300,21.54
2012-10-23,21.94,21.97,21.50,21.67,25921300,21.67
2012-10-22,22.33,22.55,22.01,22.05,19212700,22.05
